Time	EEG_Fp1	EEG_Fp2	PPG
오후 3:31:03.936 	0.000028	0.000004	0.000924
오후 3:31:03.936 	0.000013	0.000000	0.000924
오후 3:31:03.938 	0.000013	0.000014	0.000924
오후 3:31:03.938 	0.000010	0.000011	0.000923
오후 3:31:03.950 	0.000017	0.000008	0.000924
오후 3:31:03.950 	0.000011	0.000006	0.000923
오후 3:31:03.951 	0.000004	0.000008	0.000923
오후 3:31:03.951 	-0.000002	-0.000007	0.000923
오후 3:31:03.957 	-0.000009	0.000006	0.000924
오후 3:31:03.957 	-0.000005	0.000012	0.000924
오후 3:31:03.969 	0.000025	0.000018	0.000923
오후 3:31:03.969 	0.000009	-0.000005	0.000923
오후 3:31:03.972 	0.000024	0.000009	0.000923
오후 3:31:03.972 	0.000039	0.000023	0.000923
오후 3:31:03.976 	0.000022	0.000027	0.000923
오후 3:31:03.976 	-0.000000	0.000001	0.000923
오후 3:31:03.990 	0.000004	-0.000011	0.000923
오후 3:31:03.990 	0.000026	0.000010	0.000923
오후 3:31:03.992 	0.000034	0.000034	0.000923
오후 3:31:03.992 	0.000019	0.000029	0.000923
오후 3:31:03.998 	0.000009	0.000014	0.000923
오후 3:31:03.998 	0.000036	0.000031	0.000923
오후 3:31:04.011 	0.000032	0.000026	0.000923
오후 3:31:04.011 	0.000016	0.000019	0.000923
오후 3:31:04.013 	-0.000005	-0.000015	0.000923
오후 3:31:04.013 	0.000022	0.000020	0.000923
오후 3:31:04.020 	0.000033	0.000027	0.000923
오후 3:31:04.020 	0.000023	0.000017	0.000923
오후 3:31:04.031 	0.000013	0.000006	0.000923
오후 3:31:04.031 	0.000015	0.000022	0.000923
오후 3:31:04.039 	0.000023	0.000030	0.000923
오후 3:31:04.039 	0.000020	0.000008	0.000923
오후 3:31:04.045 	-0.000008	-0.000015	0.000923
오후 3:31:04.045 	-0.000010	-0.000009	0.000923
오후 3:31:04.052 	0.000013	-0.000000	0.000923
오후 3:31:04.052 	0.000005	-0.000013	0.000923
오후 3:31:04.059 	0.000005	0.000009	0.000923
오후 3:31:04.059 	0.000000	0.000008	0.000924
오후 3:31:04.067 	0.000013	0.000031	0.000924
오후 3:31:04.067 	0.000016	0.000023	0.000924
오후 3:31:04.079 	0.000015	0.000009	0.000924
오후 3:31:04.079 	0.000009	-0.000000	0.000924
오후 3:31:04.085 	0.000035	0.000042	0.000924
오후 3:31:04.085 	0.000039	0.000050	0.000925
오후 3:31:04.086 	0.000041	0.000035	0.000925
오후 3:31:04.086 	0.000009	-0.000007	0.000926
오후 3:31:04.099 	0.000025	0.000020	0.000926
오후 3:31:04.099 	0.000034	0.000030	0.000927
오후 3:31:04.104 	0.000012	0.000033	0.000928
오후 3:31:04.104 	0.000003	0.000020	0.000928
오후 3:31:04.114 	0.000017	0.000026	0.000928
오후 3:31:04.114 	0.000042	0.000043	0.000929
오후 3:31:04.149 	0.000028	0.000030	0.000930
오후 3:31:04.149 	0.000025	0.000017	0.000931
오후 3:31:04.150 	-0.000002	0.000002	0.000932
오후 3:31:04.150 	0.000010	0.000012	0.000933
오후 3:31:04.151 	0.000010	0.000020	0.000933
오후 3:31:04.151 	0.000008	0.000024	0.000934
오후 3:31:04.153 	0.000006	-0.000000	0.000935
오후 3:31:04.153 	0.000038	0.000024	0.000936
오후 3:31:04.157 	0.000037	0.000038	0.000937
오후 3:31:04.157 	0.000022	0.000030	0.000937
오후 3:31:04.168 	0.000003	0.000002	0.000938
오후 3:31:04.168 	0.000010	0.000009	0.000938
오후 3:31:04.174 	0.000027	0.000028	0.000939
오후 3:31:04.174 	0.000027	0.000024	0.000940
오후 3:31:04.183 	0.000014	0.000017	0.000940
오후 3:31:04.183 	0.000023	0.000025	0.000941
오후 3:31:04.190 	0.000047	0.000036	0.000941
오후 3:31:04.190 	0.000051	0.000045	0.000941
오후 3:31:04.211 	0.000031	0.000030	0.000942
오후 3:31:04.211 	0.000026	0.000013	0.000942
오후 3:31:04.213 	0.000038	0.000035	0.000942
오후 3:31:04.213 	0.000028	0.000043	0.000943
오후 3:31:04.214 	0.000031	0.000042	0.000943
오후 3:31:04.214 	0.000019	0.000019	0.000943
오후 3:31:04.215 	0.000042	0.000038	0.000943
오후 3:31:04.215 	0.000046	0.000042	0.000943
오후 3:31:04.224 	0.000032	0.000025	0.000943
오후 3:31:04.224 	0.000017	0.000008	0.000943
오후 3:31:04.232 	0.000030	0.000018	0.000942
오후 3:31:04.232 	0.000049	0.000047	0.000942
오후 3:31:04.245 	0.000048	0.000041	0.000942
오후 3:31:04.245 	0.000028	0.000030	0.000942
오후 3:31:04.247 	0.000031	0.000033	0.000942
오후 3:31:04.247 	0.000043	0.000031	0.000941
오후 3:31:04.258 	0.000034	0.000011	0.000941
오후 3:31:04.258 	0.000035	0.000017	0.000941
오후 3:31:04.286 	0.000029	0.000032	0.000941
오후 3:31:04.286 	0.000041	0.000051	0.000941
오후 3:31:04.288 	0.000044	0.000059	0.000940
오후 3:31:04.288 	0.000044	0.000046	0.000940
오후 3:31:04.289 	0.000041	0.000037	0.000939
오후 3:31:04.289 	0.000064	0.000052	0.000939
오후 3:31:04.334 	0.000073	0.000062	0.000938
오후 3:31:04.334 	0.000068	0.000054	0.000938
오후 3:31:04.336 	0.000040	0.000041	0.000937
오후 3:31:04.336 	0.000042	0.000046	0.000937
오후 3:31:04.337 	0.000059	0.000050	0.000937
오후 3:31:04.337 	0.000052	0.000039	0.000937
오후 3:31:04.339 	0.000028	0.000033	0.000936
오후 3:31:04.339 	0.000027	0.000037	0.000936
오후 3:31:04.340 	0.000053	0.000053	0.000935
오후 3:31:04.340 	0.000068	0.000052	0.000935
오후 3:31:04.341 	0.000050	0.000031	0.000934
오후 3:31:04.341 	0.000030	0.000023	0.000934
오후 3:31:04.349 	0.000046	0.000040	0.000934
오후 3:31:04.349 	0.000060	0.000056	0.000933
오후 3:31:04.387 	0.000055	0.000038	0.000933
오후 3:31:04.387 	0.000021	0.000013	0.000933
오후 3:31:04.388 	0.000037	0.000046	0.000933
오후 3:31:04.388 	0.000043	0.000050	0.000932
오후 3:31:04.390 	0.000035	0.000039	0.000932
오후 3:31:04.390 	0.000013	0.000016	0.000932
오후 3:31:04.391 	0.000022	0.000030	0.000931
오후 3:31:04.391 	0.000025	0.000035	0.000931
오후 3:31:04.392 	0.000025	0.000033	0.000931
오후 3:31:04.392 	0.000008	0.000012	0.000931
오후 3:31:04.393 	0.000018	0.000010	0.000931
오후 3:31:04.393 	0.000044	0.000036	0.000930
오후 3:31:04.394 	0.000046	0.000043	0.000930
오후 3:31:04.394 	0.000034	0.000027	0.000930
오후 3:31:04.414 	0.000023	0.000021	0.000930
오후 3:31:04.414 	0.000044	0.000046	0.000930
오후 3:31:04.415 	0.000042	0.000045	0.000930
오후 3:31:04.415 	0.000039	0.000037	0.000929
오후 3:31:04.419 	0.000022	0.000019	0.000929
오후 3:31:04.419 	0.000040	0.000037	0.000929
오후 3:31:04.435 	0.000042	0.000035	0.000929
오후 3:31:04.435 	0.000036	0.000046	0.000929
오후 3:31:04.436 	0.000011	0.000019	0.000929
오후 3:31:04.436 	0.000024	0.000055	0.000929
오후 3:31:04.441 	0.000027	0.000046	0.000929
오후 3:31:04.441 	0.000051	0.000052	0.000929
오후 3:31:04.456 	0.000062	0.000060	0.000929
오후 3:31:04.456 	0.000076	0.000060	0.000928
오후 3:31:04.461 	0.000102	0.000089	0.000928
오후 3:31:04.461 	0.000115	0.000101	0.000928
오후 3:31:04.469 	0.000120	0.000107	0.000928
오후 3:31:04.469 	0.000116	0.000095	0.000928
오후 3:31:04.477 	0.000148	0.000119	0.000928
오후 3:31:04.477 	0.000153	0.000122	0.000928
오후 3:31:04.482 	0.000160	0.000116	0.000928
오후 3:31:04.482 	0.000142	0.000090	0.000928
오후 3:31:04.511 	0.000166	0.000106	0.000928
오후 3:31:04.511 	0.000168	0.000108	0.000928
오후 3:31:04.512 	0.000168	0.000097	0.000928
오후 3:31:04.512 	0.000152	0.000076	0.000927
오후 3:31:04.513 	0.000151	0.000072	0.000927
오후 3:31:04.513 	0.000169	0.000084	0.000927
오후 3:31:04.514 	0.000155	0.000068	0.000927
오후 3:31:04.514 	0.000129	0.000040	0.000927
오후 3:31:04.515 	0.000109	0.000018	0.000927
오후 3:31:04.515 	0.000142	0.000053	0.000927
오후 3:31:04.516 	0.000140	0.000044	0.000927
오후 3:31:04.516 	0.000117	0.000004	0.000927
오후 3:31:04.538 	0.000117	-0.000004	0.000927
오후 3:31:04.538 	0.000127	0.000023	0.000926
