Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 3:38:42.052 	41.098140	39.691822	6.244691	4.220742	4.125092	35.554867	41.623069	6.472162	6.224460	5.806246	77.875917	86.778246	76.687292	24.203639	42.496470	33.299891
오후 3:38:42.996 	41.590448	39.623524	6.152976	4.119991	3.976355	35.987868	41.702729	6.387307	6.071097	5.682578	77.980099	86.894276	77.155620	23.869177	43.371512	32.759311
오후 3:38:44.030 	41.628197	39.558526	6.213742	4.085714	3.989747	36.073150	41.674754	6.430095	6.010747	5.638652	78.001219	86.646625	77.159629	24.162002	42.950918	32.887080
오후 3:38:45.074 	40.617496	40.135425	6.318934	4.195891	4.064128	35.188204	42.022798	6.613546	6.168255	5.780700	77.990657	86.780107	76.543861	23.758852	43.038383	33.202765
오후 3:38:47.657 	40.087341	41.047663	6.668378	4.085285	3.775693	33.581219	44.278035	7.105295	6.019461	5.071702	77.890467	87.428991	76.511527	22.449804	45.095253	32.454943
오후 3:38:50.257 	42.688478	33.253580	9.379316	6.242864	4.387957	35.392048	37.850071	9.938892	7.017793	4.875724	77.663495	88.467950	76.092039	21.711108	44.627869	33.661023
오후 3:38:51.369 	38.630344	34.726060	9.738492	6.827755	5.132011	34.116113	36.421456	10.269671	7.859681	5.892159	77.732794	88.797986	76.940182	21.933594	44.915436	33.150970
오후 3:38:51.758 	41.152912	35.494300	7.626739	6.119441	5.480613	33.322299	36.882775	10.469843	8.152242	5.902413	77.816806	88.964775	77.048645	22.425434	42.772897	34.801669
오후 3:38:52.222 	42.113091	34.546295	7.543045	6.084389	5.444713	36.671470	36.795386	7.949465	7.284684	6.534234	77.916808	88.689554	77.023217	21.894630	40.945790	37.159581
오후 3:38:52.742 	42.247720	34.571052	7.481213	6.023381	5.378435	36.766806	36.862061	7.943504	7.250758	6.422720	77.912301	87.750070	71.350840	21.682544	40.826547	37.490909
오후 3:38:53.140 	42.366098	34.630874	7.452928	5.961669	5.276747	36.865324	36.929974	7.939711	7.180963	6.330164	77.870722	87.132144	70.069023	21.830392	40.105740	38.063868
오후 3:38:54.036 	42.292424	34.869252	7.452602	5.862401	5.189727	36.873745	37.157198	7.922755	7.066089	6.192228	78.204596	89.005779	79.575084	21.603917	39.862908	38.533175
오후 3:38:55.064 	42.340964	35.271257	7.400457	5.759390	5.034928	37.015837	37.497789	7.895697	6.920826	6.028480	78.372678	88.433812	80.105801	22.683760	40.016182	37.300058
오후 3:38:56.178 	42.600822	35.208644	7.436546	5.684851	4.939001	37.332962	37.393850	7.889767	6.877375	5.900902	78.325282	87.573395	84.785124	22.674974	39.649578	37.675448
오후 3:38:57.047 	42.262250	35.499083	7.622480	5.658346	4.819411	37.018230	37.716768	8.125766	6.810394	5.794395	78.267516	88.268862	84.914604	22.483326	41.964195	35.552479
오후 3:38:58.084 	42.853232	34.482095	7.750145	5.626951	4.886320	37.338424	36.820754	8.238825	6.808215	5.948109	78.220316	88.934123	84.914604	22.483261	41.949516	35.567223
오후 3:38:59.055 	42.936783	34.609354	7.736693	5.498637	4.857580	37.395928	36.946972	8.235604	6.742906	5.869084	78.194119	89.323301	84.741920	22.722671	42.251963	35.025366
오후 3:39:00.078 	43.207659	34.610970	7.698356	5.335007	4.724247	37.598328	36.959309	8.211141	6.609876	5.759007	78.154681	91.518102	85.403168	22.944829	42.209108	34.846063
오후 3:39:01.136 	43.723757	34.585090	7.643934	5.173611	4.607905	38.030214	36.972653	8.199621	6.471209	5.594040	78.027635	93.460749	85.310162	23.111743	41.996324	34.891933
오후 3:39:02.081 	43.586208	34.951788	7.602268	5.120763	4.593895	38.257449	37.120952	8.115615	6.446338	5.578561	78.032920	93.388679	85.270271	23.449224	39.807853	36.742924
오후 3:39:03.126 	44.275546	33.628342	7.768348	5.305899	4.730720	38.926795	35.558206	8.311098	6.701416	5.750152	77.901001	94.948468	82.166876	23.068558	39.146205	37.785237
오후 3:39:04.084 	44.177325	34.028979	7.730443	5.227841	4.671357	38.933876	35.812974	8.143824	6.661608	5.818568	77.699681	97.670229	87.547653	23.871459	39.051979	37.076562
오후 3:39:05.143 	44.432451	33.851159	7.646439	5.190524	4.593690	39.017096	35.867379	8.082917	6.600658	5.729444	77.843098	97.531931	81.665954	23.693955	38.982219	37.323826
오후 3:39:06.126 	44.378121	34.118211	7.635718	5.100275	4.542675	39.053470	36.118091	8.072496	6.469567	5.642425	77.434967	96.397376	82.613612	23.894664	39.316796	36.788540
