Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 8:32:46.231 	29.745748	35.852629	13.901629	9.591861	4.454598	29.084766	32.222581	13.239221	10.819293	6.892169	112.463768	30.746654	41.796799	0.296169	30.568599	69.135232
오후 8:32:47.201 	29.716225	35.381794	14.204702	9.713285	4.536240	28.872490	31.358500	13.714490	11.076205	7.108236	112.552714	30.809987	41.763874	2.309284	26.361455	71.329261
오후 8:32:48.315 	29.565235	35.438991	14.226564	9.710114	4.569603	28.912389	31.228152	13.745163	11.144173	7.095888	112.620081	31.273311	42.308362	2.467787	26.106009	71.426204
오후 8:32:49.281 	29.414050	35.501046	14.380615	9.610701	4.590933	28.833821	31.251954	13.884147	11.141945	7.108044	112.662226	31.410388	42.369667	2.635139	26.171367	71.193493
오후 8:32:50.308 	30.270601	35.233651	14.092904	9.332142	4.499359	29.459302	31.355445	13.612007	10.802485	6.908326	112.548723	31.117950	42.582306	2.490997	26.043159	71.465844
오후 8:32:51.592 	29.234542	35.325011	14.385089	9.667921	4.661964	28.460706	31.099583	13.934412	11.227901	7.127811	112.751185	27.249480	35.352159	2.693440	26.760475	70.546084
오후 8:32:52.224 	30.618051	35.938412	12.973011	9.218187	4.471652	29.896727	31.813434	12.366906	10.771628	7.153958	112.811568	27.442421	35.569573	2.515829	26.384338	71.099833
오후 8:32:53.333 	30.195113	36.134235	12.866287	9.322179	4.566733	29.201610	32.113525	12.350887	10.899781	7.281423	112.836375	27.528596	35.646879	2.182797	26.388570	71.428633
오후 8:32:54.350 	30.390404	35.757142	13.015131	9.322360	4.645321	29.289843	32.134105	12.371912	10.863272	7.322532	112.906585	27.615058	35.524388	2.090840	26.523111	71.386049
오후 8:32:55.332 	30.498349	35.420676	13.052676	9.497303	4.662288	28.813938	32.242018	12.416275	11.086425	7.395363	113.112663	28.815148	36.194345	2.302022	26.127893	71.570085
