Time	EEG_Fp1	EEG_Fp2	PPG
오후 8:39:08.719 	0.000017	-0.000001	0.000398
오후 8:39:08.719 	0.000019	-0.000003	0.000398
오후 8:39:08.724 	0.000019	-0.000002	0.000398
오후 8:39:08.724 	0.000020	0.000002	0.000398
오후 8:39:08.742 	0.000022	0.000010	0.000398
오후 8:39:08.742 	0.000021	-0.000001	0.000398
오후 8:39:08.752 	0.000025	0.000010	0.000399
오후 8:39:08.752 	0.000018	0.000008	0.000398
오후 8:39:08.757 	0.000014	0.000007	0.000399
오후 8:39:08.757 	0.000011	-0.000004	0.000399
오후 8:39:08.763 	0.000013	-0.000003	0.000399
오후 8:39:08.763 	0.000011	-0.000007	0.000398
오후 8:39:08.764 	0.000016	-0.000002	0.000398
오후 8:39:08.764 	0.000009	-0.000007	0.000398
오후 8:39:08.775 	0.000012	-0.000007	0.000398
오후 8:39:08.775 	0.000013	0.000002	0.000398
오후 8:39:08.784 	0.000006	-0.000002	0.000398
오후 8:39:08.784 	0.000006	-0.000000	0.000398
오후 8:39:08.793 	0.000010	-0.000004	0.000398
오후 8:39:08.793 	0.000017	0.000003	0.000398
오후 8:39:08.795 	0.000014	-0.000003	0.000398
오후 8:39:08.795 	0.000015	0.000003	0.000398
오후 8:39:08.800 	0.000005	0.000004	0.000398
오후 8:39:08.800 	0.000007	-0.000002	0.000398
오후 8:39:08.812 	0.000008	-0.000007	0.000397
오후 8:39:08.812 	-0.000002	-0.000011	0.000397
오후 8:39:08.820 	-0.000002	-0.000010	0.000397
오후 8:39:08.820 	0.000001	-0.000006	0.000397
오후 8:39:08.831 	0.000009	-0.000002	0.000397
오후 8:39:08.831 	0.000002	-0.000005	0.000397
오후 8:39:08.836 	-0.000004	-0.000010	0.000397
오후 8:39:08.836 	0.000001	-0.000010	0.000397
오후 8:39:08.850 	-0.000002	-0.000006	0.000397
오후 8:39:08.850 	0.000000	-0.000008	0.000396
오후 8:39:08.856 	-0.000007	-0.000014	0.000396
오후 8:39:08.856 	-0.000005	-0.000007	0.000396
오후 8:39:08.869 	-0.000005	-0.000006	0.000396
오후 8:39:08.869 	-0.000008	-0.000009	0.000395
오후 8:39:08.918 	-0.000007	-0.000013	0.000395
오후 8:39:08.918 	-0.000006	-0.000017	0.000395
오후 8:39:08.919 	-0.000010	-0.000017	0.000395
오후 8:39:08.919 	-0.000010	-0.000018	0.000395
오후 8:39:08.921 	-0.000014	-0.000022	0.000395
오후 8:39:08.921 	-0.000018	-0.000024	0.000394
오후 8:39:08.922 	-0.000009	-0.000020	0.000394
오후 8:39:08.922 	-0.000012	-0.000014	0.000394
오후 8:39:08.923 	-0.000005	-0.000013	0.000394
오후 8:39:08.923 	-0.000010	-0.000014	0.000394
오후 8:39:08.924 	-0.000005	-0.000016	0.000394
오후 8:39:08.924 	0.000001	-0.000011	0.000394
오후 8:39:08.925 	-0.000002	-0.000014	0.000394
오후 8:39:08.925 	0.000002	-0.000015	0.000394
오후 8:39:08.926 	0.000001	-0.000013	0.000394
오후 8:39:08.926 	0.000004	-0.000008	0.000394
오후 8:39:08.931 	0.000009	-0.000012	0.000394
오후 8:39:08.931 	0.000006	-0.000007	0.000394
오후 8:39:08.955 	-0.000002	-0.000021	0.000394
오후 8:39:08.955 	0.000007	-0.000014	0.000394
오후 8:39:08.964 	0.000004	-0.000016	0.000394
오후 8:39:08.964 	-0.000002	-0.000013	0.000394
오후 8:39:08.973 	-0.000004	-0.000015	0.000394
오후 8:39:08.973 	0.000002	-0.000008	0.000394
오후 8:39:08.987 	0.000017	0.000007	0.000394
오후 8:39:08.987 	0.000020	0.000002	0.000394
오후 8:39:08.993 	0.000022	0.000002	0.000394
오후 8:39:08.993 	0.000027	0.000004	0.000394
오후 8:39:09.006 	0.000031	0.000006	0.000394
오후 8:39:09.006 	0.000020	0.000001	0.000394
오후 8:39:09.007 	0.000018	-0.000015	0.000394
오후 8:39:09.007 	0.000016	-0.000007	0.000394
오후 8:39:09.013 	0.000014	-0.000006	0.000394
오후 8:39:09.013 	0.000004	-0.000010	0.000394
오후 8:39:09.027 	-0.000003	-0.000013	0.000394
오후 8:39:09.027 	-0.000000	-0.000006	0.000394
오후 8:39:09.032 	0.000001	-0.000007	0.000394
오후 8:39:09.032 	0.000006	-0.000003	0.000394
오후 8:39:09.049 	0.000003	-0.000010	0.000394
오후 8:39:09.049 	0.000004	-0.000012	0.000394
오후 8:39:09.054 	0.000004	-0.000016	0.000394
오후 8:39:09.054 	0.000007	-0.000017	0.000394
