Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 9:23:07.049 	27.332322	54.710830	8.704723	3.269879	1.779443	27.143027	52.975278	9.924592	3.218289	1.963375	80.982310	81.000187	79.709198	24.220855	45.219677	30.559468
오후 9:23:07.954 	25.763148	54.184820	9.817003	3.688784	1.903163	28.021327	52.448713	9.986338	3.063604	1.759778	80.982310	81.193360	80.086064	24.170775	45.322012	30.507213
오후 9:23:08.974 	23.662040	56.140624	9.186417	3.591856	2.026553	26.434378	54.269306	9.845332	2.997993	1.701007	80.898129	81.558265	69.651114	24.431049	44.014143	31.554808
오후 9:23:09.961 	24.574401	55.929926	9.172193	3.399078	1.894816	26.760657	54.219449	10.089110	2.657470	1.559841	80.352423	71.804349	64.217926	24.441550	43.702738	31.855713
오후 9:23:10.941 	23.179244	57.206489	9.345958	3.419943	1.912009	25.571613	54.812330	10.493893	2.731688	1.516321	80.164813	70.797169	64.241683	24.330321	45.349888	30.319791
오후 9:23:12.219 	22.820603	57.439392	9.420654	3.465817	1.910983	24.940258	55.661024	10.288513	2.701527	1.505558	79.661526	70.042045	63.606738	23.986659	45.477053	30.536288
오후 9:23:12.801 	22.111712	58.157666	9.482759	3.441745	1.898683	24.698493	56.044863	10.266418	2.646710	1.467755	79.607201	70.219541	63.709009	24.072642	46.589310	29.338047
오후 9:23:13.901 	22.168669	58.094162	9.501689	3.422630	1.900995	24.756396	56.009650	10.265174	2.633002	1.463308	79.656090	70.307836	64.154532	23.897098	48.239090	27.863812
오후 9:23:14.934 	22.337615	58.058055	9.491157	3.318444	1.841932	24.817385	55.881334	10.325293	2.548580	1.417887	79.885034	70.979472	63.529925	23.909316	48.000939	28.089745
오후 9:23:15.947 	23.050597	56.819926	9.704320	3.548922	1.971965	25.677571	54.434797	10.521445	2.733710	1.523692	79.846785	70.641136	63.529925	23.581241	47.490432	28.928328
오후 9:23:16.941 	22.488314	57.211733	9.597459	3.628018	2.025108	25.039571	55.015557	10.347035	2.806663	1.566838	79.672400	69.939159	64.222678	19.563437	45.479356	34.957206
오후 9:23:17.875 	22.480263	57.397572	9.557770	3.571874	2.017964	25.123484	55.219510	10.287041	2.703399	1.532869	79.175258	69.201289	62.937919	16.921788	45.531819	37.546393
오후 9:23:18.880 	22.369523	57.559801	9.547192	3.567712	2.012530	24.987227	55.368419	10.303124	2.691807	1.517193	79.132321	69.528555	61.999953	14.633609	48.476624	36.889766
오후 9:23:19.829 	22.610219	57.317881	9.550246	3.561369	1.996315	25.135032	55.315218	10.272963	2.669308	1.487897	79.143051	69.335701	62.157263	11.190557	52.781473	36.027970
