Time	EEG_Fp1	EEG_Fp2	PPG
오후 5:43:03.974 	-0.000014	-0.000012	0.000930
오후 5:43:03.974 	-0.000016	-0.000013	0.000930
오후 5:43:03.982 	-0.000023	-0.000025	0.000930
오후 5:43:03.982 	-0.000018	-0.000021	0.000930
오후 5:43:03.993 	-0.000017	-0.000027	0.000930
오후 5:43:03.993 	-0.000025	-0.000066	0.000929
오후 5:43:04.007 	-0.000057	-0.000107	0.000930
오후 5:43:04.007 	-0.000030	-0.000020	0.000930
오후 5:43:04.010 	0.000013	0.000031	0.000930
오후 5:43:04.010 	0.000008	0.000003	0.000930
오후 5:43:04.013 	-0.000018	-0.000004	0.000930
오후 5:43:04.013 	0.000004	0.000020	0.000929
오후 5:43:04.014 	-0.000006	0.000004	0.000930
오후 5:43:04.014 	-0.000001	0.000014	0.000930
오후 5:43:04.033 	-0.000010	0.000000	0.000930
오후 5:43:04.033 	-0.000008	0.000004	0.000930
오후 5:43:04.041 	0.000016	0.000040	0.000930
오후 5:43:04.041 	0.000014	0.000043	0.000930
오후 5:43:04.054 	-0.000001	0.000023	0.000930
오후 5:43:04.054 	-0.000017	0.000007	0.000930
오후 5:43:04.056 	0.000000	0.000021	0.000930
오후 5:43:04.056 	-0.000000	0.000006	0.000930
오후 5:43:04.058 	-0.000007	0.000012	0.000929
오후 5:43:04.058 	-0.000021	0.000005	0.000930
오후 5:43:04.061 	-0.000004	0.000012	0.000930
오후 5:43:04.061 	0.000007	0.000025	0.000930
오후 5:43:04.076 	0.000009	0.000018	0.000929
오후 5:43:04.076 	-0.000010	0.000004	0.000930
오후 5:43:04.079 	-0.000008	-0.000002	0.000929
오후 5:43:04.079 	0.000004	0.000014	0.000930
오후 5:43:04.080 	-0.000006	-0.000002	0.000929
오후 5:43:04.080 	-0.000035	-0.000017	0.000930
오후 5:43:04.102 	-0.000027	-0.000020	0.000929
오후 5:43:04.102 	-0.000012	-0.000006	0.000930
오후 5:43:04.103 	-0.000017	-0.000008	0.000929
오후 5:43:04.103 	-0.000019	-0.000011	0.000930
오후 5:43:04.104 	-0.000030	-0.000024	0.000930
오후 5:43:04.104 	-0.000021	-0.000010	0.000930
오후 5:43:04.122 	-0.000017	-0.000005	0.000930
오후 5:43:04.122 	-0.000018	-0.000002	0.000930
오후 5:43:04.124 	-0.000026	-0.000004	0.000930
오후 5:43:04.124 	-0.000029	-0.000022	0.000930
오후 5:43:04.127 	-0.000021	-0.000028	0.000930
오후 5:43:04.127 	-0.000023	-0.000015	0.000930
오후 5:43:04.147 	-0.000045	-0.000027	0.000930
오후 5:43:04.147 	-0.000019	-0.000014	0.000930
오후 5:43:04.149 	-0.000021	-0.000022	0.000930
오후 5:43:04.149 	-0.000017	-0.000021	0.000930
오후 5:43:04.150 	-0.000019	-0.000017	0.000930
오후 5:43:04.150 	-0.000037	-0.000025	0.000930
